year,month,pc1_hf,STOXX50_hf,MP_pm,CBI_pm,MP_median,CBI_median
2008,6,0.1448081,-0.433983633554824,0.1448081,0,0.08608222,0.05872588
2008,7,-0.08500493,1.35320062185773,-0.08500493,-0,-0.08515226,0.00014733
2008,8,-0.04133535,-0.637270002828849,-0,-0.04133535,-0.00058238,-0.04075297
2008,9,-0.00691079,-0.755483514443789,-0,-0.00691079,0.02035572,-0.02726651
2008,10,-0.0570089,-0.810760493031637,-0,-0.0570089,-0.00295113,-0.05405777
2008,11,0.2002043,-1.30428193491552,0.2002043,0,0.14121014,0.05899416
2008,12,0.04982349,-1.47784599256786,0.04982349,0,0.07149008,-0.02166659
2009,1,-0.02466105,-0.571526476159256,-0,-0.02466105,0.00568268,-0.03034373
2009,2,-0.05688374,-0.458091676403427,-0,-0.05688374,-0.01400387,-0.04287987
2009,3,0.00430596,0.228659642468632,0,0.00430596,-0.00505385,0.00935981
2009,4,0.08257235,-0.0510608946750146,0.08257235,0,0.0428955,0.03967685
2009,5,-0.02388175,-0.292221535248149,-0,-0.02388175,-0.00273072,-0.02115103
2009,6,0.03861438,0.0120242890783828,0,0.03861438,0.01892821,0.01968617
2009,7,-0.06632423,-1.66959763168348,-0,-0.06632423,0.01945979,-0.08578402
2009,8,0.00160611,-0.0954478917656765,0.00160611,0,0.00381135,-0.00220524
2009,9,-0.04305892,-0.219099207942719,-0,-0.04305892,-0.01462395,-0.02843497
2009,10,-0.02342441,-0.173400424928793,-0,-0.02342441,-0.00624702,-0.01717739
2009,11,-0.01539349,0.807551135358597,-0.01539349,-0,-0.03314891,0.01775542
2009,12,-0.039619,0.314817376122178,-0.039619,-0,-0.02973182,-0.00988718
2010,1,-0.01152441,-0.181830713177078,-0,-0.01152441,-3.132e-05,-0.01149309
2010,2,-0.0049629,-0.957506306342903,-0,-0.0049629,0.02769696,-0.03265986
2010,3,-0.01254731,0.307755207621874,-0.01254731,-0,-0.0159734,0.00342609
2010,4,0.00434162,-0.10028072619539,0.00434162,0,0.00533143,-0.00098981
2010,5,0.00815789,-0.692771714286966,0.00815789,0,0.02591353,-0.01775564
2010,6,-0.00338842,0.687814364196093,-0.00338842,-0,-0.02337255,0.01998413
2010,7,0.04668704,0.576790905550251,0,0.04668704,0.00516439,0.04152265
