date,pc1,STOXX50,MP_pm,CBI_pm,MP_median,CBI_median
2002-05-02,0.04762042,-0.253706095368855,0.04762042,0,0.03180645,0.01581397
2002-06-06,0.0056769,-0.282230683628271,0.0056769,0,0.01173372,-0.00605682
2002-07-04,-0.00798947,-0.23717285198952,-0,-0.00798947,0.00348041,-0.01146988
2002-08-01,0.00237073,-0.526377316919646,0.00237073,0,0.01777558,-0.01540485
2002-09-12,-0.02389637,-0.880993008893327,-0,-0.02389637,0.0158187,-0.03971507
2002-10-10,0.03127537,-0.184623307066101,0.03127537,0,0.02145659,0.00981878
2002-11-07,0.02864934,-1.6045496113783,0.02864934,0,0.06489641,-0.03624707
2002-12-05,-0.0442229,-0.891277315403283,-0,-0.0442229,0.00597958,-0.05020248
2003-01-09,0.02471564,1.23744907061862,0,0.02471564,-0.02664375,0.05135939
2003-02-06,0.02050565,-1.40471361424188,0.02050565,0,0.05452619,-0.03402054
2003-03-06,0.04462998,-1.38558258236667,0.04462998,0,0.06598539,-0.02135541
2003-04-03,0.02101899,-0.236794942893681,0.02101899,0,0.01797273,0.00304626
2003-05-08,0.03897503,-1.12156216574055,0.03897503,0,0.05483659,-0.01586156
2003-06-05,-0.05658381,-0.937799933318395,-0,-0.05658381,0.00126541,-0.05784922
2003-07-10,0.00774416,0.256539962673496,0,0.00774416,-0.00421347,0.01195763
2003-07-31,0.00662267,-0.0839478119953441,0.00662267,0,0.00595718,0.00066549
2003-09-04,-0.00493792,-0.151109047456011,-0,-0.00493792,0.00229365,-0.00723157
2003-10-02,0.01444679,-0.77918704616744,0.01444679,0,0.03178159,-0.0173348
2003-11-06,0.00456645,0.101156847360606,0,0.00456645,-0.00090501,0.00547146
2003-12-04,-0.00937222,-0.46528059302382,-0,-0.00937222,0.00997847,-0.01935069
2004-01-08,-0.00569375,0.322019162705267,-0.00569375,-0,-0.01299618,0.00730243
2004-02-05,-0.00842081,-0.0822140681755457,-0,-0.00842081,-0.00161921,-0.0068016
2004-03-04,0.03989246,0.246645374901266,0,0.03989246,0.01217253,0.02771993
2004-04-01,0.07399822,-0.37845870785036,0.07399822,0,0.04892726,0.02507096
2004-05-06,0.01079037,-0.375669422951397,0.01079037,0,0.01723543,-0.00644506
2004-06-03,-0.01062136,0.163673965777633,-0.01062136,-0,-0.01046931,-0.00015205
